iter	Passed	Remaining
0	1	124
1	2	118
2	3	128
3	4	114
4	5	110
5	6	103
6	7	98
7	8	93
8	8	90
9	9	89
10	10	86
11	11	84
12	12	81
13	13	79
14	13	78
15	15	80
16	16	79
17	17	77
18	18	77
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	24	70
26	26	70
27	26	68
28	27	68
29	28	67
30	29	66
31	31	67
32	32	66
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	37	59
39	38	58
40	39	56
41	40	55
42	42	55
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	54	46
54	56	45
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	91	12
88	91	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	104	2
98	104	1
99	108	0
